id,BomCode,BomCodeName,CanPacking,Remark,LastUpdatedDateTime,NeedPicking
8656,FKWE1807,"厨柜18mm吊柜下固层(四,K1)",0,,2017-03-09 19:08:06.88,
8657,FKFE1806,"厨柜18mm地柜下固层(四,K1)",0,,2017-03-09 19:08:06.88,
8658,FKFE1807,"厨柜18mm地柜下固层(四K,K3)",0,,2017-03-09 19:08:06.883,
8659,FKPF1803,厨柜10mm装饰顶线三角加固板,0,,2017-03-09 19:08:06.887,
8660,FKPF1804,厨柜18mm顶线加固板(四),0,,2017-03-09 19:08:06.887,
8661,FKPF1805,厨柜18mm收口板(四),0,,2017-03-09 19:08:06.89,
8662,FKPF1806,厨柜18mm收口盒顶底板(四),0,,2017-03-09 19:08:06.89,
8663,FKPF1807,厨柜18mm收口盒前板(四),0,,2017-03-09 19:08:06.893,
8664,FKPF1808,厨柜18mm收口盒侧板(四),0,,2017-03-09 19:08:06.897,
8665,FKD001,新贵-花神吸塑门M014(H≥270，W≥270)_真门,0,,2017-03-09 19:08:06.897,
8666,FKD003,新贵-花神吸塑门M014(H<270mm或W<270mm)_真门,0,,2017-03-09 19:08:06.9,
8667,FKD004,新贵-花神吸塑门M014(H≥270，W≥270)_假门,0,,2017-03-09 19:08:06.9,
8668,FKD006,新贵-花神吸塑门M014(H<270mm或W<270mm)_假门,0,,2017-03-09 19:08:06.903,
8669,FKD007,新贵-花神吸塑抽面M014(H≥270，W≥270)_真抽,0,,2017-03-09 19:08:06.907,
8670,FKD008,新贵-花神吸塑抽面M014(160≤H<270，W≥270)_真抽,0,,2017-03-09 19:08:06.907,
8671,FKD009,新贵-花神吸塑抽面M014(H<160mm或W<270mm)_真抽,0,,2017-03-09 19:08:06.91,
8672,FKD010,新贵-花神吸塑抽面M014(H≥270，W≥270)_假抽,0,,2017-03-09 19:08:06.91,
8673,FKD011,新贵-花神吸塑抽面M014(160≤H<270，W≥270)_假抽,0,,2017-03-09 19:08:06.913,
8674,FKD012,新贵-花神吸塑抽面M014(H<160mm或W<270mm)_假抽,0,,2017-03-09 19:08:06.917,
8675,FKD013,新贵-花神吸塑多孔玻璃门M014(VI01)(5mm清波),0,,2017-03-09 19:08:06.917,
8676,FKD014,新贵-花神吸塑多孔玻璃门M014(VI01)(5mm玉砂玻璃),0,,2017-03-09 19:08:06.92,
8677,FKD015,新贵-花神吸塑连体玻璃门M014(VI02)(5mm清波),0,,2017-03-09 19:08:06.92,
8678,FKD016,新贵-花神吸塑连体玻璃门M014(VI02)(5mm玉砂玻璃),0,,2017-03-09 19:08:06.923,
8679,FKD017,浪漫-枫丹白露吸塑门板(H≥270，W≥320)_真门,0,,2017-03-09 19:08:06.927,
8680,FKD018,浪漫-枫丹白露吸塑门板(H≥270，270≤W<320)_真门,0,,2017-03-09 19:08:06.927,
8681,FKD019,浪漫-枫丹白露吸塑门板(H<270mm或W<270mm)_真门,0,,2017-03-09 19:08:06.93,
8682,FKD020,浪漫-枫丹白露吸塑门板(H≥270，W≥320)_假门,0,,2017-03-09 19:08:06.93,
8683,FKD021,浪漫-枫丹白露吸塑门板(H≥270，270≤W<320)_假门,0,,2017-03-09 19:08:06.933,
8684,FKD022,浪漫-枫丹白露吸塑门板(H<270mm或W<270mm)_假门,0,,2017-03-09 19:08:06.937,
8685,FKD023,浪漫-枫丹白露吸塑抽面(H≥270，W≥320)_真抽,0,,2017-03-09 19:08:06.94,
8686,FKD025,浪漫-枫丹白露吸塑抽面(H<270mm或W<270mm)_真抽,0,,2017-03-09 19:08:06.94,
8687,FKD026,浪漫-枫丹白露吸塑抽面(H≥270，W≥320)_假抽,0,,2017-03-09 19:08:06.943,
8688,FKD028,浪漫-枫丹白露吸塑抽面(H<270mm或W<270mm)_假抽,0,,2017-03-09 19:08:06.943,
8689,FKD029,浪漫-枫丹白露连体玻璃门M017(VI01)(5mm清波),0,,2017-03-09 19:08:06.947,
8690,FKD030,浪漫-枫丹白露连体玻璃门M017(VI01)(5mm玉砂玻璃),0,,2017-03-09 19:08:06.947,
8691,FKD031,浪漫-枫丹白露网格门M017(VI02),0,,2017-03-09 19:08:06.95,
8692,FKD032,新贵-贝弗龙吸塑门板(H≥160，W≥270)_真门,0,,2017-03-09 19:08:06.95,
8693,FKD033,新贵-贝弗龙吸塑门板(H<160或W<270)_真门,0,,2017-03-09 19:08:06.953,
8694,FKD034,新贵-贝弗龙吸塑门板(H≥160，W≥270)_假门,0,,2017-03-09 19:08:06.957,
8695,FKD035,新贵-贝弗龙吸塑门板(H<160或W<270)_假门,0,,2017-03-09 19:08:06.96,
8696,FKD036,新贵_白沙棕影单面吸塑背面白色三氨门板M021_真门,0,,2017-03-09 19:08:06.96,
8697,FKD037,新贵_白沙棕影单面吸塑背面白色三氨门板M021_假门,0,,2017-03-09 19:08:06.96,
8698,FKD038,新贵_白沙棕影单面吸塑背面白色三氨抽面M021_真抽,0,,2017-03-09 19:08:06.963,
8699,FKD039,新贵_白沙棕影单面吸塑背面白色三氨抽面M021_假抽,0,,2017-03-09 19:08:06.967,
8700,FKD040,浪漫_李尔PVC吸塑四边倒角造型门板M037_真门,0,,2017-03-09 19:08:06.967,
8701,FKD041,浪漫_李尔PVC吸塑四边倒角造型门板M037_假门,0,,2017-03-09 19:08:06.97,
8702,FKD042,浪漫_李尔PVC吸塑四边倒角造型抽面M037_真抽,0,,2017-03-09 19:08:06.97,
8703,FKD043,浪漫_李尔PVC吸塑四边倒角造型抽面M037_假抽,0,,2017-03-09 19:08:06.973,
8704,FKD179,厨柜18mm吸塑顶线,0,,2017-03-09 19:08:06.977,
8705,FKD184,厨柜18mm吸塑封板,0,,2017-03-09 19:08:06.98,
8706,FKD189,厨柜18mm吸塑见光板,0,,2017-03-09 19:08:06.98,
8707,FKD044,皇家_约瑟芬亚光烤漆门板(H≥270，W≥270)_真门,0,,2017-03-09 19:08:06.98,
8708,FKD046,皇家_约瑟芬亚光烤漆门板(H<270mm或W<270mm)_真门,0,,2017-03-09 19:08:06.983,
8709,FKD047,皇家_约瑟芬亚光烤漆门板_假门,0,,2017-03-09 19:08:06.987,
8710,FKD048,皇家_约瑟芬亚光二格烤漆门板_假门,0,,2017-03-09 19:08:06.987,
8711,FKD049,皇家_约瑟芬亚光烤漆抽面(H≥270，W≥270)_真抽,0,,2017-03-09 19:08:06.99,
8712,FKD050,皇家_约瑟芬亚光烤漆抽面(160≤H<270，W≥270)_真抽,0,,2017-03-09 19:08:06.993,
8713,FKD051,皇家_约瑟芬亚光烤漆抽面(H<160mm或W<270mm)_真抽,0,,2017-03-09 19:08:06.993,
8714,FKD052,皇家_约瑟芬亚光烤漆抽面_假抽,0,,2017-03-09 19:08:06.997,
8715,FKD053,皇家_约瑟芬双雕花烤漆门板(H≥320，W≥397)_真门,0,,2017-03-09 19:08:07.0,
8716,FKD054,皇家_约瑟芬双雕花烤漆门板_假门,0,,2017-03-09 19:08:07.0,
8717,FKD055,皇家_约瑟芬双雕花二格烤漆门板_假门,0,,2017-03-09 19:08:07.003,
8718,FKD056,皇家_约瑟芬双雕花烤漆抽面(H≥320，W≥397)_真抽,0,,2017-03-09 19:08:07.003,
8719,FKD057,皇家_约瑟芬双雕花烤漆抽面(H≥320，W≥397)_假抽,0,,2017-03-09 19:08:07.007,
8720,FKD058,皇家-约瑟芬油漆门M003(VI01)无雕花玻璃门(5mm清波),0,,2017-03-09 19:08:07.01,
