Id,Code,Name,OrderIndex,Remark,IsDeleted,UpdatedDateTime,CreatedDateTime
133,"1H油,K3",1H封PVC后喷漆，做形,621,,0,2014-05-15 16:33:02.583,2014-05-15 16:33:02.583
134,1H油1H,1H封PVC后喷漆、1H封PVC,622,,0,2014-05-15 16:40:19.947,2014-05-15 16:40:19.947
135,"1H油1H,K3",1H封PVC后喷漆、1H封PVC，做形,623,,0,2014-05-15 16:40:48.307,2014-05-15 16:40:48.307
136,1H油1H2L,1H封PVC后喷漆、1H2L封PVC,624,,0,2014-05-15 16:41:08.51,2014-05-15 16:41:08.51
137,"1H油1H2L,K1",1H封PVC后喷漆、1H2L封PVC，开槽,625,,0,2014-05-15 16:41:31.3,2014-05-15 16:41:31.3
138,"1H油1H2L,K3",1H封PVC后喷漆、1H2L封PVC，做形,626,,0,2014-05-15 16:41:54.203,2014-05-15 16:41:54.203
139,"1H油2L,K3",1H封PVC后喷漆、2L封PVC，做形,628,,0,2014-05-15 16:42:18.147,2014-05-15 16:42:18.147
140,1L油,1L封PVC后喷漆,630,,0,2014-05-15 16:42:37.523,2014-05-15 16:42:37.523
141,1L油2H1L,1L封PVC后喷漆、2H1L封PVC,631,,0,2014-05-15 16:42:56.447,2014-05-15 16:42:56.447
142,"1L油2H1L,K1",1L封PVC后喷漆、2H1L封PVC，开槽,632,,0,2014-05-15 16:44:04.383,2014-05-15 16:44:04.383
143,"1L油2H1L,K3",1L封PVC后喷漆、2H1L封PVC，做形,633,,0,2014-05-15 16:45:04.927,2014-05-15 16:45:04.927
144,"2H1L油,K3",2H1L封PVC后喷漆，做形,640,,0,2014-05-15 16:45:26.3,2014-05-15 16:45:26.3
145,2H1L油1L,2H1L封PVC后喷漆、1L封PVC,641,,0,2014-05-15 16:45:47.907,2014-05-15 16:45:47.907
146,"2H1L油1L,K3",2H1L封PVC后喷漆、1L封PVC，做形,642,,0,2014-05-15 16:46:08.107,2014-05-15 16:46:08.107
147,2H油,2H封PVC后喷漆,650,,0,2014-05-15 16:46:30.183,2014-05-15 16:46:30.183
148,"2H油,K3",2H封PVC后喷漆，做形,651,,0,2014-05-15 16:46:53.91,2014-05-15 16:46:53.91
149,"2H油1L,K3",2H封PVC后喷漆、1L封PVC，做形,653,,0,2014-05-15 16:47:15.203,2014-05-15 16:47:15.203
