Id,Name,OrderIndex,UpdatedDateTime,CreatedDateTime,IsDeleted,Remark,EdgeBandingColor,Color2020,PriorityFlag,PaintGoods,IsOrder,EPType
164,A92S,71921,2017-05-31 17:36:35.56,2012-07-20 08:39:01.883,0,2074GCS,A92,,,N,1,2
165,A92,71920,2017-05-31 17:36:26.48,2012-07-20 08:39:36.983,0,2074GC,A92,,,N,1,2
166,A67,71670,2017-05-31 17:41:17.313,2012-07-23 08:39:22.36,0,2035GC,A67,,,N,1,2
167,A67S,71671,2017-05-31 17:41:26.76,2012-07-23 08:39:55.413,0,2035GCS,A67,,,N,1,2
168,A27,71270,2017-05-31 17:51:37.353,2012-07-24 10:17:18.44,0,91100,A27,,,N,1,2
169,A27S,71271,2017-05-31 17:51:47.347,2012-07-24 10:17:38.713,0,91100S,A27,,,N,1,2
170,A50T,71500,2017-05-31 17:48:39.38,2012-07-24 10:25:11.323,0,211SPGC,A50T,,,Y,1,2
171,118,20,2014-10-22 11:09:35.0,2012-07-24 20:06:56.633,1,,,,,N,1,
172,B64S,72641,2017-05-31 17:21:10.613,2012-07-25 08:19:54.593,0,2056GCS(MX),B64,,,N,1,2
173,B64,72640,2017-05-31 17:20:53.497,2012-07-25 08:20:12.56,0,2056GC(MX),B64,,,N,1,2
174,A81S,71811,2017-05-31 17:37:52.027,2012-07-25 17:23:22.48,0,40904-2S,A81,,,N,1,2
175,A45S,71451,2017-05-31 17:49:59.22,2012-07-26 16:51:10.9,0,1018GCS,A45,,,N,1,2
176,A45,71450,2017-05-31 17:49:52.027,2012-07-26 16:51:47.043,0,1018GC,A45,,,N,1,2
177,B65,72650,2017-05-31 17:20:41.52,2012-07-30 09:04:47.67,0,2076GC(ML),B65,,,N,1,2
178,A38,71380,2017-05-31 17:50:33.527,2012-07-30 17:35:50.48,0,1007GC,A38,,,N,1,2
179,A80,71800,2017-05-31 17:37:58.42,2012-07-30 17:37:37.387,0,40231-B,A80,,,N,1,2
180,B69,72690,2017-05-31 17:18:37.34,2012-08-03 09:56:06.74,0,2093GC(MX),B69,,,N,1,2
181,B69S,72691,2017-05-31 17:18:48.49,2012-08-03 09:56:32.56,0,2093GCS(MX),B69,,,N,1,2
182,B12S,72121,2017-05-31 17:33:32.967,2012-08-03 14:54:19.677,0,206S(MX),206,,,N,1,2
183,B67,72670,2017-05-31 17:19:28.583,2012-08-06 08:34:03.333,0,S002,,,,N,1,3
184,B68,72680,2017-05-31 17:19:17.147,2012-08-06 08:35:27.23,0,S003,,,,N,1,3
